YEARS,P,CR(T-1),DER(T-1),BPS(T-1),DPS
2008/03,46.8,1.4464,2.50631136,15.25,3.51
2008/06,32.9,1.4342,2.463803256,16.06,3.51
2008/09,17.3,1.4062,2.862495172,15.2,0
2008/12,13.95,1.3731,3.04040404,14.21,0
2009/03,19,1.3792,2.955696203,14.63,0
2009/06,32.4,1.3961,2.96039604,15.36,2.756
2009/09,40.5,1.437,3.037141704,15.03,0
2009/12,47.25,1.429,3.046944557,16.19,0
2010/03,50,1.3185,3.450378282,18.89,5.038
2010/06,51.4,1.3843,2.753753754,23,5.038
2010/09,50.3,1.2915,3.191114837,19.56,5.038
2010/12,65.4,1.3457,2.720238095,22.1,0
2011/03,61.7,1.3934,2.410641201,25.1,6.097
2011/06,67.4,1.4408,2.258390355,30.05,6.097
2011/09,51.2,1.3746,2.648303539,25.46,6.097
2011/12,43.5,1.4266,2.331112592,26.71,0
2012/03,51.2,1.4475,2.312355084,28.05,3
2012/06,46.6,1.4582,2.209242619,29.72,3
2012/09,49.25,1.3494,2.861003861,27.21,3
2012/12,54.6,1.3258,3.042037187,33.48,0
2013/03,62.6,1.3503,2.75516335,37.71,3
2013/06,63,1.3632,2.615328995,35.2,3
2013/09,65.2,1.3082,3.058441558,33.27,3
2013/12,63,1.3581,2.868471954,34.9,0
2014/03,71.8,1.3258,3.142502071,36.65,0
2014/06,66.8,1.3214,3.184100418,37.76,7
2014/09,48.6,1.3361,3.226542688,26.18,7
2014/12,63.9,1.4988,2.209242619,33.03,0
2015/03,74,1.5089,2.156565657,34.56,7
2015/06,73.6,1.6008,1.823263693,37.6,7
2015/09,46.4,1.4634,2.361344538,33.23,7
2015/12,37.9,1.4209,2.442340792,25.48,0
2016/03,47,1.5736,1.904443799,30.78,6
2016/06,53,1.6897,1.628120894,33.27,6
2016/09,48.5,1.659,2.095975232,27.64,6
2016/12,45.4,1.7319,1.897710808,29.5,0
2017/03,53.3,1.8215,1.870264064,30.33,5
2017/06,50.4,1.8807,1.760905577,30.64,5
2017/09,41.1,1.8673,2.512469266,25.74,5
2017/12,42.3,1.8495,2.617945007,26.83,0
2018/03,45.15,1.8268,2.616636528,26.92,3.5
2018/06,45.25,1.9328,2.271180896,28.55,3.5
2018/09,48.4,1.8321,2.451846738,27.21,3.5
2018/12,45,1.7523,2.41997264,28.4,0
2019/03,50.8,1.865,2.263707572,29.98,3.5
2019/06,49.45,1.8111,2.327787022,31.55,3.5
2019/09,49.9,1.7253,2.954132068,28.11,4.5
2019/12,46.3,1.6647,3.151100042,27.4,2
2020/03,40.5,1.6591,3.291845494,26.66,4
2020/06,43.55,1.5853,3.610419548,26.62,3
2020/09,43,1.4882,3.819277108,27.07,3
2020/12,45.85,1.4842,3.786979416,27.71,3
2021/03,43.5,1.409,4.050505051,25.47,0
2021/06,43.65,1.4473,4.094243505,25.72,2.005
2021/09,45.1,1.3836,3.842615012,27.4,2.005
2021/12,46.25,1.3844,3.71475719,29.17,2.005
2022/03,45.4,1.4019,3.452359751,30.31,0
2022/06,45.2,1.4393,3.173622705,31.5,5.008
2022/09,39,1.4008,3.69043152,27.82,5.008
2022/12,40.3,1.3898,3.74608448,28.03,0
2023/03,41.15,1.3944,3.591368228,26.82,0
2023/06,42.65,1.3844,3.446420631,27.43,1.5
2023/09,39.45,1.3574,3.466279589,27.26,1.5
2023/12,40.1,1.3931,3.032258065,28.08,0
2024/03,40.15,1.3832,2.957261575,25.47,1.5
2024/06,52.1,1.3857,3.12371134,25.29,1.5
2024/09,45.1,1.392,3.030632809,25.76,1.5
2024/12,43.45,1.3986,2.96039604,26.92,0
2025/03,43.45,1.4204,2.832886163,26.04,0
2025/06,41.4,1.3746,3.003202562,26.04,2.5
